item_number,item,score_0_3_or_5
1,"Auto-tagging enabled in Google Ads",
2,"gclid captured to CRM on first enquiry",
3,"gclid protected from overwrite on later forms",
4,"gbraid/wbraid fields exist",
5,"Consent Mode v2 defaults documented",
6,"CMP updates consent before ads tags fire",
7,"Primary conversion is not raw page view",
8,"Offline conversion action exists for closed won",
9,"Mid-funnel offline bridge conversion exists",
10,"Upload job dedupe key in place",
11,"Conversion timestamps include timezone",
12,"Currency aligned between CRM and Ads",
13,"Call tracking DNI on paid landing pages",
14,"Call outcomes stored in CRM",
15,"Qualified call values uploaded",
16,"GA4 enquiry event names standardised",
17,"CRM stages match commercial language",
18,"Board report shows pipeline not only CPC",
19,"Quarterly search term negative review",
20,"Attribution owner named in the team",
